时间,地区,0#柴油_价格,0#柴油_上期价格,0#柴油_涨跌,89#汽油_价格,89#汽油_上期价格,89#汽油_涨跌,92#汽油_价格,92#汽油_上期价格,92#汽油_涨跌,95#汽油_价格,95#汽油_上期价格,95#汽油_涨跌,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-14 00:00:00,江苏,7.48,7.63,-0.15,7.33,7.47,-0.14,7.82,7.97,-0.15,8.32,8.48,-0.16,1721,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,江西,7.56,7.72,-0.16,7.26,7.40,-0.14,7.81,7.96,-0.15,8.38,8.54,-0.16,1722,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,宁夏,7.40,7.55,-0.15,7.31,7.45,-0.14,7.75,7.90,-0.15,8.19,8.35,-0.16,1723,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,青海,7.44,7.59,-0.15,7.33,7.47,-0.14,7.81,7.96,-0.15,8.37,8.53,-0.16,1724,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,山东,7.43,7.58,-0.15,7.25,7.40,-0.15,7.81,7.96,-0.15,8.38,8.54,-0.16,1725,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,山西,7.59,7.74,-0.15,7.30,7.44,-0.14,7.80,7.95,-0.15,8.42,8.58,-0.16,1726,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,陕西,7.41,7.56,-0.15,7.29,7.44,-0.15,7.73,7.88,-0.15,8.17,8.33,-0.16,1727,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,四川,7.56,7.72,-0.16,7.37,7.51,-0.14,7.94,8.10,-0.16,8.49,8.65,-0.16,1728,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,云南,7.59,7.74,-0.15,7.36,7.50,-0.14,7.99,8.15,-0.16,8.58,8.74,-0.16,1729,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,上海,7.50,7.65,-0.15,7.29,7.43,-0.14,7.81,7.96,-0.15,8.31,8.47,-0.16,1730,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,重庆,7.58,7.73,-0.15,7.48,7.62,-0.14,7.91,8.06,-0.15,8.36,8.52,-0.16,1731,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,北京,7.56,7.72,-0.16,7.35,7.49,-0.14,7.85,8.00,-0.15,8.36,8.52,-0.16,1732,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,天津,7.52,7.67,-0.15,7.27,7.41,-0.14,7.84,7.99,-0.15,8.29,8.45,-0.16,1733,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,浙江,7.50,7.65,-0.15,7.25,7.39,-0.14,7.82,7.97,-0.15,8.32,8.48,-0.16,1734,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,内蒙古,7.39,7.54,-0.15,,,,7.78,7.93,-0.15,8.30,8.47,-0.17,1735,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,黑龙江,7.31,7.47,-0.16,,,,7.81,7.96,-0.15,8.37,8.53,-0.16,1736,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,辽宁,7.41,7.57,-0.16,,,,8.00,8.15,-0.15,8.50,8.67,-0.17,1737,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,新疆,7.29,7.44,-0.15,,,,7.62,7.80,-0.18,8.16,8.34,-0.18,1738,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,吉林,7.43,7.59,-0.16,,,,7.81,7.96,-0.15,8.43,8.59,-0.16,1739,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-06-14 00:00:00,西藏,8.06,8.21,-0.15,8.23,8.37,-0.14,8.72,8.88,-0.16,9.23,9.39,-0.16,1740,2024-06-14 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,安徽,7.71,7.90,-0.19,7.45,7.63,-0.18,7.95,8.14,-0.19,8.51,8.70,-0.19,1741,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,海南,7.76,7.95,-0.19,8.40,8.58,-0.18,9.11,9.30,-0.19,9.68,9.88,-0.20,1742,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,河北,7.67,7.87,-0.20,7.41,7.59,-0.18,7.99,8.18,-0.19,8.45,8.65,-0.20,1743,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,河南,7.66,7.85,-0.19,,,,8.01,8.20,-0.19,8.55,8.75,-0.20,1744,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,湖北,7.66,7.85,-0.19,,,,8.01,8.20,-0.19,8.58,8.78,-0.20,1745,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,福建,7.66,7.86,-0.20,7.41,7.59,-0.18,7.96,8.15,-0.19,8.50,8.70,-0.20,1746,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,甘肃,7.57,7.76,-0.19,7.39,7.57,-0.18,8.00,8.19,-0.19,8.54,8.74,-0.20,1747,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,广东,7.68,7.87,-0.19,7.45,7.62,-0.17,8.02,8.21,-0.19,8.69,8.89,-0.20,1748,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,贵州,7.77,7.97,-0.20,7.67,7.85,-0.18,8.13,8.32,-0.19,8.59,8.79,-0.20,1749,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,湖南,7.74,7.93,-0.19,7.45,7.62,-0.18,7.95,8.13,-0.19,8.45,8.65,-0.20,1750,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,江苏,7.63,7.82,-0.19,7.47,7.64,-0.17,7.97,8.16,-0.19,8.48,8.68,-0.20,1751,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,江西,7.72,7.91,-0.19,7.40,7.57,-0.17,7.96,8.15,-0.19,8.54,8.75,-0.21,1752,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,宁夏,7.55,7.74,-0.19,7.45,7.63,-0.18,7.90,8.09,-0.19,8.35,8.54,-0.19,1753,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,青海,7.59,7.78,-0.19,7.47,7.65,-0.18,7.96,8.15,-0.19,8.53,8.76,-0.23,1754,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,山东,7.58,7.77,-0.19,7.40,7.57,-0.17,7.96,8.15,-0.19,8.54,8.75,-0.21,1755,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,山西,7.74,7.94,-0.20,7.44,7.61,-0.17,7.95,8.13,-0.18,8.58,8.78,-0.20,1756,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,陕西,7.56,7.75,-0.19,7.44,7.61,-0.17,7.88,8.07,-0.19,8.33,8.53,-0.20,1757,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,四川,7.72,7.91,-0.19,7.51,7.69,-0.18,8.10,8.28,-0.18,8.65,8.85,-0.20,1758,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,上海,7.65,7.84,-0.19,7.43,7.60,-0.17,7.96,8.15,-0.19,8.47,8.67,-0.20,1759,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,重庆,7.73,7.93,-0.20,7.62,7.80,-0.18,8.06,8.25,-0.19,8.52,8.71,-0.19,1760,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,北京,7.72,7.91,-0.19,7.49,7.67,-0.18,8.00,8.19,-0.19,8.52,8.72,-0.20,1761,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,天津,7.67,7.87,-0.20,7.41,7.59,-0.18,7.99,8.18,-0.19,8.45,8.65,-0.20,1762,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,浙江,7.65,7.85,-0.20,7.39,7.56,-0.17,7.97,8.16,-0.19,8.48,8.68,-0.20,1763,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,广西,7.73,7.92,-0.19,7.50,7.68,-0.18,8.06,8.25,-0.19,8.71,8.91,-0.20,1764,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,云南,7.74,7.93,-0.19,7.50,7.68,-0.18,8.15,8.34,-0.19,8.74,8.95,-0.21,1765,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,黑龙江,7.47,7.70,-0.23,,,,7.96,8.22,-0.26,8.53,8.78,-0.25,1766,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,辽宁,7.57,7.76,-0.19,,,,8.15,8.34,-0.19,8.67,8.87,-0.20,1767,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,新疆,7.44,7.63,-0.19,,,,7.80,7.99,-0.19,8.34,8.55,-0.21,1768,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,吉林,7.59,7.78,-0.19,,,,7.96,8.15,-0.19,8.59,8.79,-0.20,1769,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,西藏,8.21,8.40,-0.19,8.37,8.55,-0.18,8.88,9.06,-0.18,9.39,9.58,-0.19,1770,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-05-16 00:00:00,内蒙古,7.54,7.73,-0.19,,,,7.93,8.12,-0.19,8.47,8.67,-0.20,1771,2024-05-16 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,安徽,7.90,7.96,-0.06,7.63,7.68,-0.05,8.14,8.19,-0.05,8.70,8.76,-0.06,1772,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,河北,7.87,7.93,-0.06,7.59,7.64,-0.05,8.18,8.24,-0.06,8.65,8.71,-0.06,1773,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,河南,7.85,7.91,-0.06,,,,8.20,8.25,-0.05,8.75,8.82,-0.07,1774,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,湖北,7.85,7.91,-0.06,,,,8.20,8.26,-0.06,8.78,8.84,-0.06,1775,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,福建,7.86,7.92,-0.06,7.59,7.64,-0.05,8.15,8.20,-0.05,8.70,8.76,-0.06,1776,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,广东,7.87,7.93,-0.06,7.62,7.67,-0.05,8.21,8.26,-0.05,8.89,8.95,-0.06,1777,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,贵州,7.97,8.03,-0.06,7.85,7.90,-0.05,8.32,8.38,-0.06,8.79,8.85,-0.06,1778,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,湖南,7.93,7.99,-0.06,7.62,7.68,-0.05,8.13,8.19,-0.06,8.65,8.71,-0.06,1779,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,江苏,7.82,7.88,-0.06,7.64,7.70,-0.06,8.16,8.21,-0.05,8.68,8.74,-0.06,1780,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,江西,7.91,7.97,-0.06,7.57,7.63,-0.06,8.15,8.20,-0.05,8.75,8.80,-0.05,1781,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,宁夏,7.74,7.80,-0.06,7.63,7.68,-0.05,8.09,8.14,-0.05,8.54,8.60,-0.06,1782,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,青海,7.78,7.84,-0.06,7.65,7.70,-0.05,8.15,8.20,-0.05,8.76,8.79,-0.03,1783,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,山东,7.77,7.83,-0.06,7.57,7.62,-0.05,8.15,8.21,-0.06,8.75,8.81,-0.06,1784,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,山西,7.94,8.00,-0.06,7.61,7.66,-0.05,8.13,8.19,-0.06,8.78,8.84,-0.06,1785,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,陕西,7.75,7.81,-0.06,7.61,7.67,-0.06,8.07,8.12,-0.05,8.53,8.58,-0.05,1786,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,四川,7.91,7.97,-0.06,7.69,7.74,-0.05,8.28,8.34,-0.06,8.85,8.91,-0.06,1787,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,西藏,8.40,8.46,-0.06,8.55,8.60,-0.05,9.06,9.12,-0.06,9.58,9.64,-0.06,1788,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,云南,7.93,7.99,-0.06,7.68,7.73,-0.05,8.34,8.39,-0.05,8.95,9.01,-0.06,1789,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,上海,7.84,7.90,-0.06,7.60,7.66,-0.06,8.15,8.21,-0.06,8.67,8.73,-0.06,1790,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,重庆,7.93,7.98,-0.05,7.80,7.85,-0.05,8.25,8.30,-0.05,8.71,8.77,-0.06,1791,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,北京,7.91,7.98,-0.07,7.67,7.72,-0.05,8.19,8.25,-0.06,8.72,8.78,-0.06,1792,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,天津,7.87,7.93,-0.06,7.59,7.64,-0.05,8.18,8.24,-0.06,8.65,8.71,-0.06,1793,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,浙江,7.85,7.91,-0.06,7.56,7.61,-0.05,8.16,8.21,-0.05,8.68,8.74,-0.06,1794,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,海南,7.95,8.01,-0.06,8.58,8.63,-0.05,9.30,9.36,-0.06,9.88,9.94,-0.06,1795,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,甘肃,7.76,7.82,-0.06,7.57,7.62,-0.05,8.19,8.25,-0.06,8.74,8.80,-0.06,1796,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,广西,7.92,7.98,-0.06,7.68,7.73,-0.05,8.25,8.30,-0.05,8.91,8.97,-0.06,1797,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,内蒙古,7.73,7.79,-0.06,,,,8.12,8.18,-0.06,8.67,8.73,-0.06,1798,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,黑龙江,7.70,7.76,-0.06,,,,8.22,8.27,-0.05,8.78,8.84,-0.06,1799,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,吉林,7.78,7.84,-0.06,,,,8.15,8.21,-0.06,8.79,8.85,-0.06,1800,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,辽宁,7.76,7.82,-0.06,,,,8.34,8.40,-0.06,8.87,8.94,-0.07,1801,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-30 00:00:00,新疆,7.63,7.69,-0.06,,,,7.99,8.05,-0.06,8.55,8.61,-0.06,1802,2024-04-30 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-17 00:00:00,安徽,7.96,7.80,0.16,7.68,7.53,0.15,8.19,8.03,0.16,8.76,8.60,0.16,1803,2024-04-17 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-17 00:00:00,海南,8.01,7.84,0.17,8.63,8.48,0.15,9.36,9.20,0.16,9.94,9.77,0.17,1804,2024-04-17 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-17 00:00:00,河北,7.93,7.76,0.17,7.64,7.49,0.15,8.24,8.08,0.16,8.71,8.54,0.17,1805,2024-04-17 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-17 00:00:00,河南,7.91,7.74,0.17,,,,8.25,8.09,0.16,8.82,8.64,0.18,1806,2024-04-17 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-17 00:00:00,湖北,7.91,7.75,0.16,,,,8.26,8.10,0.16,8.84,8.67,0.17,1807,2024-04-17 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-17 00:00:00,福建,7.92,7.75,0.17,7.64,7.49,0.15,8.20,8.05,0.15,8.76,8.59,0.17,1808,2024-04-17 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-17 00:00:00,甘肃,7.82,7.66,0.16,7.62,7.47,0.15,8.25,8.09,0.16,8.80,8.63,0.17,1809,2024-04-17 00:00:00,1,0,2024-06-24 17:19:57,0,2024-06-24 17:19:57,,,
2024-04-17 00:00:00,广东,7.93,7.76,0.17,7.67,7.52,0.15,8.26,8.10,0.16,8.95,8.78,0.17,1810,2024-04-17 00:00:00,1,0,2024-06-24 17:20:03,0,2024-06-24 17:20:03,,,
2024-04-17 00:00:00,广西,7.98,7.81,0.17,7.73,7.58,0.15,8.30,8.14,0.16,8.97,8.80,0.17,1811,2024-04-17 00:00:00,1,0,2024-06-24 17:20:03,0,2024-06-24 17:20:03,,,
2024-04-17 00:00:00,贵州,8.03,7.86,0.17,7.90,7.75,0.15,8.38,8.22,0.16,8.85,8.68,0.17,1812,2024-04-17 00:00:00,1,0,2024-06-24 17:20:03,0,2024-06-24 17:20:03,,,
2024-04-17 00:00:00,湖南,7.99,7.83,0.17,7.68,7.53,0.15,8.19,8.03,0.16,8.71,8.54,0.17,1813,2024-04-17 00:00:00,1,0,2024-06-24 17:20:03,0,2024-06-24 17:20:03,,,
2024-04-17 00:00:00,江苏,7.88,7.72,0.16,7.70,7.55,0.15,8.21,8.05,0.16,8.74,8.57,0.17,1814,2024-04-17 00:00:00,1,0,2024-06-24 17:20:03,0,2024-06-24 17:20:03,,,
2024-04-17 00:00:00,江西,7.97,7.81,0.16,7.63,7.48,0.15,8.20,8.04,0.16,8.80,8.63,0.17,1815,2024-04-17 00:00:00,1,0,2024-06-24 17:20:03,0,2024-06-24 17:20:03,,,
2024-04-17 00:00:00,宁夏,7.80,7.64,0.16,7.68,7.53,0.15,8.14,7.98,0.16,8.60,8.43,0.17,1816,2024-04-17 00:00:00,1,0,2024-06-24 17:20:03,0,2024-06-24 17:20:03,,,
2024-04-17 00:00:00,青海,7.84,7.68,0.16,7.70,7.55,0.15,8.20,8.04,0.16,8.79,8.62,0.17,1817,2024-04-17 00:00:00,1,0,2024-06-24 17:20:03,0,2024-06-24 17:20:03,,,
2024-04-17 00:00:00,山东,7.83,7.67,0.16,7.62,7.47,0.15,8.21,8.05,0.16,8.81,8.63,0.18,1818,2024-04-17 00:00:00,1,0,2024-06-24 17:20:03,0,2024-06-24 17:20:03,,,
2024-04-17 00:00:00,山西,8.00,7.83,0.17,7.66,7.52,0.14,8.19,8.03,0.16,8.84,8.67,0.17,1819,2024-04-17 00:00:00,1,0,2024-06-24 17:20:03,0,2024-06-24 17:20:03,,,
2024-04-17 00:00:00,陕西,7.81,7.65,0.16,7.67,7.52,0.15,8.12,7.97,0.15,8.58,8.42,0.16,1820,2024-04-17 00:00:00,1,0,2024-06-24 17:20:03,0,2024-06-24 17:20:03,,,
2024-04-17 00:00:00,四川,7.97,7.80,0.17,7.74,7.59,0.15,8.34,8.18,0.16,8.91,8.74,0.17,1821,2024-04-17 00:00:00,1,0,2024-06-24 17:20:03,0,2024-06-24 17:20:03,,,
2024-04-17 00:00:00,云南,7.99,7.83,0.17,7.73,7.58,0.15,8.39,8.23,0.16,9.01,8.84,0.17,1822,2024-04-17 00:00:00,1,0,2024-06-24 17:20:03,0,2024-06-24 17:20:03,,,
2024-04-17 00:00:00,上海,7.90,7.74,0.16,7.66,7.51,0.15,8.21,8.05,0.16,8.73,8.56,0.17,1823,2024-04-17 00:00:00,1,0,2024-06-24 17:20:03,0,2024-06-24 17:20:03,,,
2024-04-17 00:00:00,重庆,7.98,7.82,0.16,7.85,7.70,0.15,8.30,8.14,0.16,8.77,8.61,0.16,1824,2024-04-17 00:00:00,1,0,2024-06-24 17:20:03,0,2024-06-24 17:20:03,,,
2024-04-17 00:00:00,北京,7.98,7.81,0.17,7.72,7.57,0.15,8.25,8.09,0.16,8.78,8.61,0.17,1825,2024-04-17 00:00:00,1,0,2024-06-24 17:20:03,0,2024-06-24 17:20:03,,,
